r,t,y,NewCapacity
REGION1,DEMRESKER,2037,0.8788
REGION1,DEMRESKER,2038,0.8788
REGION1,DEMRESKER,2039,0.8788
REGION1,DEMRESKER,2040,0.8687
REGION1,DEMRESNGS,2020,82.7879
REGION1,DEMRESNGS,2021,84.1313
REGION1,DEMRESNGS,2022,85.404
REGION1,DEMRESNGS,2023,86.9394
REGION1,DEMRESNGS,2024,88.5354
REGION1,DEMRESNGS,2025,89.9697
REGION1,DEMRESNGS,2026,91.2424
REGION1,DEMRESNGS,2027,92.3232
REGION1,DEMRESNGS,2028,93.4141
REGION1,DEMRESNGS,2029,94.3232
REGION1,DEMRESNGS,2030,95.0202
REGION1,DEMRESNGS,2031,95.7576
REGION1,DEMRESNGS,2032,96.4747
REGION1,DEMRESNGS,2033,96.9798
REGION1,DEMRESNGS,2034,97.5455
REGION1,DEMRESNGS,2035,97.9394
REGION1,DEMRESNGS,2036,98.1818
REGION1,DEMRESNGS,2037,98.3232
REGION1,DEMRESNGS,2038,98.3333
REGION1,DEMRESNGS,2039,98.2727
REGION1,DEMRESNGS,2040,98.1515
REGION1,DEMRESNGS,2041,100.5101
REGION1,DEMRESNGS,2042,101.2071
REGION1,DEMRESNGS,2043,101.903
REGION1,DEMRESNGS,2044,102.6
REGION1,DEMRESNGS,2045,103.296
REGION1,DEMRESNGS,2046,103.9919
REGION1,DEMRESNGS,2047,104.6889
REGION1,DEMRESNGS,2048,105.3848
REGION1,DEMRESNGS,2049,106.0818
REGION1,DEMRESNGS,2050,106.7778
REGION1,DEMTRABIO,2020,23.5657
REGION1,DEMTRABIO,2021,23.2323
REGION1,DEMTRABIO,2022,22.899
REGION1,DEMTRABIO,2023,22.5556
REGION1,DEMTRABIO,2024,22.2626
REGION1,DEMTRABIO,2025,22.0404
REGION1,DEMTRABIO,2026,21.8687
REGION1,DEMTRABIO,2027,21.7273
REGION1,DEMTRABIO,2028,21.5556
REGION1,DEMTRABIO,2029,21.3535
REGION1,DEMTRABIO,2030,21.1616
REGION1,DEMTRABIO,2031,20.9596
REGION1,DEMTRABIO,2032,20.7778
REGION1,DEMTRABIO,2033,20.5455
REGION1,DEMTRABIO,2034,20.2828
REGION1,DEMTRABIO,2035,20.0101
REGION1,DEMTRABIO,2036,19.7273
REGION1,DEMTRABIO,2037,19.4444
REGION1,DEMTRABIO,2038,19.1616
REGION1,DEMTRABIO,2039,18.8889
REGION1,DEMTRABIO,2040,18.6263
REGION1,DEMTRABIO,2041,18.5192
REGION1,DEMTRABIO,2042,18.2838
REGION1,DEMTRABIO,2043,18.0475
REGION1,DEMTRABIO,2044,17.8121
REGION1,DEMTRABIO,2045,17.5758
REGION1,DEMTRABIO,2046,17.3404
REGION1,DEMTRABIO,2047,17.1051
REGION1,DEMTRABIO,2048,16.8687
REGION1,DEMTRABIO,2049,16.6333
REGION1,DEMTRABIO,2050,16.397
REGION1,DEMTRADSL,2020,99.8081
REGION1,DEMTRADSL,2021,98.5657
REGION1,DEMTRADSL,2022,97.0303
REGION1,DEMTRADSL,2023,95.7475
REGION1,DEMTRADSL,2024,94.798
REGION1,DEMTRADSL,2025,94.3535
REGION1,DEMTRADSL,2026,94.1313
REGION1,DEMTRADSL,2027,94.0101
REGION1,DEMTRADSL,2028,93.3838
REGION1,DEMTRADSL,2029,92.8182
REGION1,DEMTRADSL,2030,92.3939
